Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts
2024-12-04,GNX,Kendrick Lamar,1,1,1,
2024-12-04,Wicked: The Soundtrack,Cynthia Erivo| Ariana Grande & Various Artists,2,2,1,
2024-12-04,Short n' Sweet,Sabrina Carpenter,3,5,1,14
2024-12-04,CHROMAKOPIA,Tyler| The Creator,4,3,1,5
2024-12-04,Hit Me Hard And Soft,Billie Eilish,5,9,2,28
2024-12-04,The Secret Of Us,Gracie Abrams,6,8,2,23
2024-12-04,Cosa Nuestra,Rauw Alejandro,7,6,6,2
2024-12-04,The Tortured Poets Department,Taylor Swift,8,11,1,32
2024-12-04,One Thing At A Time,Morgan Wallen,9,12,1,91
2024-12-04,The Rise And Fall Of A Midwest Princess,Chappell Roan,10,10,2,36
2024-12-04,The Great American Bar Scene,Zach Bryan,11,33,2,22
2024-12-04,Christmas,Michael Buble,12,24,1,121
2024-12-04,SOS,SZA,13,14,1,103
2024-12-04,Glorious,GloRilla,14,15,5,7
2024-12-04,Stick Season,Noah Kahan,15,16,2,105
2024-12-04,A Philly Special Christmas Party,The Philly Specials,16,16,1,
2024-12-04,Last Lap,Rod Wave,17,13,2,7
2024-12-04,Ultimate Christmas,Bing Crosby,18,39,18,4
2024-12-04,F-1 Trillion,Post Malone,19,19,1,15
2024-12-04,Beautifully Broken,Jelly Roll,20,17,1,7
2024-12-04,Dangerous: The Double Album,Morgan Wallen,21,21,1,203
2024-12-04,Merry Christmas,Mariah Carey,22,36,3,128
2024-12-04,Incomodo,Tito Double P,23,20,11,14
2024-12-04,Golden Hour : Part.2 (EP),ATEEZ,24,1,1,2
2024-12-04,Take Care,BigXthaPlug,25,22,8,7
2024-12-04,Arcane League Of Legends: Season Two,Soundtrack,26,26,1,
2024-12-04,Brat,Charli xcx,27,23,3,25
2024-12-04,The Christmas Song,Nat King Cole,28,63,4,84
2024-12-04,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio,29,58,6,119
2024-12-04,From Zero,Linkin Park,30,2,2,2
2024-12-04,I've Tried Everything But Therapy (Part I),Teddy Swims,31,27,17,60
2024-12-04,One Assassination Under God: Chapter 1,Marilyn Manson,32,32,1,
2024-12-04,Wicked,Original Broadway Cast Recording,33,79,33,116
2024-12-04,Lover,Taylor Swift,34,31,1,275
2024-12-04,Where I've Been; Isn't Where I'm Going,Shaboozey,35,37,5,26
2024-12-04,The Pinkprint,Nicki Minaj,36,2,124,
2024-12-04,Diamonds,Elton John,37,38,7,368
2024-12-04,Fireworks & Rollerblades,Benson Boone,38,28,6,34
2024-12-04,Goodbye & Good Riddance,Juice WRLD,39,65,4,341
2024-12-04,Zach Bryan,Zach Bryan,40,29,1,66
2024-12-04,Midnights,Taylor Swift,41,34,1,110
2024-12-04,Ultimate Christmas,Frank Sinatra,42,78,12,48
2024-12-04,A Christmas Gift For You From Phil Spector,Various Artists,43,85,7,41
2024-12-04,Folklore,Taylor Swift,44,35,1,227
2024-12-04,American Heartbreak,Zach Bryan,45,30,5,132
2024-12-04,1989 (Taylor's Version),Taylor Swift,46,40,1,57
2024-12-04,Rumours,Fleetwood Mac,47,43,1,609
2024-12-04,Man Down,Ice Cube,48,48,1,
2024-12-04,Blonde,Frank Ocean,49,32,1,410
2024-12-04,The Andy Williams Christmas Album,Andy Williams,50,111,14,38
2024-12-04,The Best Of Pentatonix Christmas,Pentatonix,51,94,7,39
2024-12-04,Leather,Cody Johnson,52,52,18,46
2024-12-04,Exodo,Peso Pluma,53,42,5,23
2024-12-04,Romance : Untold,ENHYPEN,54,7,2,14
2024-12-04,Curtain Call: The Hits,Eminem,55,44,1,712
2024-12-04,Cold Beer & Country Music,Zach Top,56,72,56,15
2024-12-04,good kid; m.A.A.d city,Kendrick Lamar,57,59,2,631
2024-12-04,DAMN.,Kendrick Lamar,58,69,1,398
2024-12-04,Rockin' Around The Christmas Tree: The Decca Christmas Recordings,Brenda Lee,59,133,16,34
2024-12-04,Guts,Olivia Rodrigo,60,46,1,64
2024-12-04,Sour,Olivia Rodrigo,61,49,1,184
2024-12-04,The Diamond Collection,Post Malone,62,47,11,54
2024-12-04,+-=��x (Tour Collection),Ed Sheeran,63,53,28,7
2024-12-04,IGOR,Tyler| The Creator,64,51,1,268
2024-12-04,Utopia,Travis Scott,65,48,1,70
2024-12-04,This One's For You,Luke Combs,66,57,4,391
2024-12-04,We Don't Trust You,Future & Metro Boomin,67,50,1,36
2024-12-04,Ctrl,SZA,68,66,3,390
2024-12-04,Take Care,Drake,69,54,1,613
2024-12-04,Evermore,Taylor Swift,70,71,1,207
2024-12-04,Eternal Sunshine,Ariana Grande,71,80,1,38
2024-12-04,One Of Wun,Gunna,72,56,2,29
2024-12-04,Mixtape Pluto,Future,73,45,1,10
2024-12-04,reputation,Taylor Swift,74,60,1,323
2024-12-04,Red (Taylor's Version),Taylor Swift,75,81,1,159
2024-12-04,Last Christmas (Soundtrack),George Michael & Wham!,76,129,23,31
2024-12-04,Un Verano Sin Ti,Bad Bunny,77,70,1,134
2024-12-04,A Bobby Helms Christmas (EP),Bobby Helms,78,168,78,2
2024-12-04,For All The Dogs,Drake,79,61,1,60
2024-12-04,Greatest Hits,Queen,80,77,8,623
2024-12-04,Emails I Can't Send,Sabrina Carpenter,81,68,23,62
2024-12-04,Genesis,Peso Pluma,82,75,3,75
2024-12-04,Happy (EP),JIN,83,4,4,2
2024-12-04,Hozier,Hozier,84,76,2,346
2024-12-04,Hardstone Psycho,Don Toliver,85,62,3,24
2024-12-04,Twisters: The Album,Soundtrack,86,82,7,19
2024-12-04,Megan,Megan Thee Stallion,87,73,3,20
2024-12-04,The Dean Martin Christmas Album,Dean Martin,88,27,39,
2024-12-04,Hamilton: An American Musical,Original Broadway Cast,89,88,2,479
2024-12-04,Rudolph The Red-Nosed Reindeer,Burl Ives,90,15,63,
2024-12-04,Graduation,Kanye West,91,84,1,356
2024-12-04,Traveller,Chris Stapleton,92,110,1,481
2024-12-04,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Gene Autry,93,21,36,
2024-12-04,Channel Orange,Frank Ocean,94,74,2,206
2024-12-04,Hollywood's Bleeding,Post Malone,95,86,1,232
2024-12-04,My Turn,Lil Baby,96,83,1,248
2024-12-04,Submarine,The Marias,97,55,17,11
2024-12-04,Morayo,Wizkid,98,98,1,
2024-12-04,Religiously. The Album.,Bailey Zimmerman,99,97,7,81
2024-12-04,Flower Boy,Tyler| The Creator,100,87,2,214
2024-12-04,The Best Of Nickelback: Volume 1,Nickelback,101,89,21,216
2024-12-04,Reboot II,Brooks & Dunn,102,25,25,2
2024-12-04,Legends Never Die,Juice WRLD,103,161,1,215
2024-12-04,When We All Fall Asleep; Where Do We Go?,Billie Eilish,104,96,1,296
2024-12-04,I Never Liked You,Future,105,98,1,135
2024-12-04,Am I Okay?,Megan Moroney,106,113,9,20
2024-12-04,Starboy,The Weeknd,107,93,1,369
2024-12-04,The Death Of Slim Shady (Coup de Grace),Eminem,108,92,1,20
2024-12-04,Hungover,Ella Langley,109,131,49,10
2024-12-04,Happier Than Ever,Billie Eilish,110,104,1,173
2024-12-04,Greatest Hits,Creed,111,108,15,121
2024-12-04,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,112,67,18,722
2024-12-04,Born To Die,Lana Del Rey,113,114,2,564
2024-12-04,AM,Arctic Monkeys,114,105,6,331
2024-12-04,ASTROWORLD,Travis Scott,115,90,1,330
2024-12-04,Gettin' Old,Luke Combs,116,117,4,88
2024-12-04,Wrapped In Red,Kelly Clarkson,117,3,70,
2024-12-04,Pa Las Baby's y Belikeada,Fuerza Regida,118,101,14,58
2024-12-04,Greatest Hits,2Pac,119,112,3,550
2024-12-04,Higher,Chris Stapleton,120,150,3,55
