Product_ID,Sales,Inventory_Levels,Lead_Time_Days,Price,Seasonality_Index
1,158.4395218,367.4421289,6.314586893,18.79519709,1.183949696
2,278.9902035,426.6511566,5.800672691,26.08963571,0.857305136
3,698.8586833,407.6393813,3.071935684,22.39998497,0.698677434
4,1832.394674,392.3911755,3.534252697,27.09201273,0.697540402
5,459.7038823,448.3120196,10.80224146,18.30782108,0.840725105
6,1692.519057,547.4102214,10.14719928,23.48068121,1.13193046
7,97.70055613,415.0978126,5.84844449,19.70365989,0.915440229
8,397.5974423,434.0629587,8.815998312,5.053034894,1.040903201
9,459.9886172,596.1918529,8.01284155,14.55078207,0.900940786
10,724.7355154,277.6378788,8.248575913,22.91188473,0.902528527
11,288.3128804,443.609642,4.149644471,22.58132458,0.794907265
12,623.2807876,248.6088471,3.383644155,13.52511306,0.981620875
13,413.2916524,516.261871,9.365188718,21.10183774,0.964967253
14,1108.538224,209.0891888,3.041403394,22.51630113,1.082533005
15,554.8537215,633.501519,6.703612917,19.82667215,1.057539521
16,2447.488676,302.8043906,6.264595348,23.64409319,0.960570524
17,415.8799779,234.1132152,6.079698077,22.96277654,0.698782231
18,1060.539472,445.4580056,7.628901645,19.8242821,1.214115894
19,1292.185075,756.6660938,5.64481514,17.44587591,0.982991132
20,25.57476585,606.678868,7.791470925,25.21270796,1.015928538
21,814.5394106,211.6528842,7.282310829,22.31581049,1.320099013
22,404.1484403,298.5312099,11.19746471,13.09283674,1.181644425
23,180.5893067,440.659944,4.229181216,21.10448828,1.08928984
24,1121.578898,835.7529743,7.058537968,14.24487645,0.999538843
25,302.6216647,359.1568778,7.8626902,15.17716034,0.99767089
26,91.45780091,360.3672134,6.487194889,16.74044982,1.0480229
27,564.8105604,729.114408,4.325849784,20.22436618,1.081381345
28,1234.843674,529.2360808,9.514205561,21.87242789,1.342280351
29,182.8849053,657.9500041,7.67386866,17.95529055,1.494653217
30,889.8848464,390.935069,4.466206574,18.17408692,1.058052161
31,65.63155903,484.7546228,7.877335925,17.48378172,0.569344786
32,1293.987309,697.3447793,10.40313214,25.23756819,0.809651105
33,652.0233479,478.2738685,6.927368133,5.735282482,1.362299376
34,165.0055502,668.4579796,6.995574661,18.45661295,1.143730526
35,834.4503498,558.0900951,10.13601006,27.72492398,1.085209297
36,317.1784213,344.0556382,5.059232036,22.58615025,0.966632418
37,221.2971122,497.5524181,10.45510409,26.3342362,0.762195588
38,311.435614,647.2075988,8.945822141,9.828755702,1.335557951
39,776.6263549,600.4124287,5.151562072,13.78875384,0.83535795
40,208.6923329,493.9620652,5.663462,22.5702407,1.145862363
41,38.62053952,216.2428417,5.950374333,27.75315297,0.739859646
42,324.995553,230.6012778,3.332871572,14.29381892,0.956930263
43,1152.719983,262.5041616,7.520943498,18.06119109,1.198591426
44,1142.358845,423.433669,5.242105994,22.00732071,0.950061166
45,311.0651168,443.4323189,7.593102643,12.73750801,0.926310025
46,301.8113712,278.6882898,4.418113499,22.6084563,1.002127254
47,286.2330716,653.3769191,8.846026474,6.621576755,0.732799422
48,275.5324893,310.4346384,8.47525186,22.46119732,0.695170619
49,292.0378921,294.4161437,5.588241972,15.02457516,1.142847297
50,585.1005985,513.2353631,7.719298316,17.76201405,0.915558015
51,1171.516267,646.085768,7.165841119,23.25941974,1.141296952
52,208.3736782,808.228193,9.964598972,22.23626078,1.223636603
